
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0055                          R4                                46   1      1   1   1 1           1 0 LED_G               (4076-43-13)
00-0055                          R4                                46   1      2   1   1 2           2 0 XSIG020128          (4076-37-13)
00-0055                          R6                                47   1      1   1   1 1           1 0 LED_B               (4076-44-13)
00-0055                          R6                                47   1      2   1   1 2           2 0 XSIG020129          (4076-38-13)
00-0074                          R7                                27   1      1   1   1 1           1 0 XSIG020078          (4076-24-13)
00-0074                          R7                                27   1      2   1   1 2           2 0 OTG_FS_VBAT         (4076-21-13)
00-0074                          R9                                26   1      1   1   1 1           1 0 XSIG020228          (4112-12-13)
00-0074                          R9                                26   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0081                          R1                                29   1      1   1   1 1           1 0 XSIG020304          (4112-17-13)
00-0081                          R1                                29   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0081                          R10                               30   1      1   1   1 1           1 0 XSIG020081          (4076-26-13)
00-0081                          R10                               30   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0098                          R11                               35   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0098                          R11                               35   1      2   1   1 2           2 0 SD_CMD              (4076-33-13)
00-0098                          R12                               36   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0098                          R12                               36   1      2   1   1 2           2 0 RSTn                (4076-7-13)
00-0098                          R13                               31   1      1   1   1 1           1 0 XSIG020351          (4142-1-13)
00-0098                          R13                               31   1      2   1   1 2           2 0 XSIG020352          (4142-2-13)
00-0098                          R14                               33   1      1   1   1 1           1 0 XSIG020310          (4112-19-13)
00-0098                          R14                               33   1      2   1   1 2           2 0 XSIG020304          (4112-17-13)
00-0098                          R15                               32   1      1   1   1 1           1 0 XSIG020182          (4076-63-13)
00-0098                          R15                               32   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0098                          R16                               34   1      1   1   1 1           1 0 XSIG020295          (4112-15-13)
00-0098                          R16                               34   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0122                          R5                                19   1      1   1   1 1           1 0 OTG_FS_VBAT         (4076-21-13)
00-0122                          R5                                19   1      2   1   1 2           2 0 GND                 (43-1-13)
00-1029                          R2                                57   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-1029                          R2                                57   1      2   1   1 2           2 0 XSIG020306          (4112-18-13)
01-0228                          R3                                45   1      1   1   1 1           1 0 LED_R               (4076-42-13)
01-0228                          R3                                45   1      2   1   1 2           2 0 XSIG020127          (4076-36-13)
01-0324                          R8                                58   1      1   1   1 1           1 0 XSIG020348          (4123-1-13)
01-0324                          R8                                58   1      2   1   1 2           2 0 XSIG020127          (4076-36-13)
10-0018                          C16                               56   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0018                          C16                               56   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0018                          C17                               55   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0018                          C17                               55   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0037                          C7                                28   1      1   1   1 1           1 0 XSIG020079          (4076-25-13)
10-0037                          C7                                28   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C1                                 2   1      1   1   1 1           1 0 OTG_FS_VBAT         (4076-21-13)
10-0057                          C1                                 2   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C2                                 9   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C2                                 9   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C3                                 8   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C3                                 8   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C4                                 7   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C4                                 7   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C5                                 5   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C5                                 5   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C6                                 6   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C6                                 6   1      2   1   1 2           2 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0057                          C8                                 4   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C8                                 4   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C9                                 3   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C9                                 3   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C13                               10   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C13                               10   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0060                          C15                               22   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0060                          C15                               22   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0069                          C10                               53   1      1   1   1 1           1 0 OSC_OUT             (4076-65-13)
10-0069                          C10                               53   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0069                          C11                               52   1      1   1   1 1           1 0 OSC_IN              (4076-66-13)
10-0069                          C11                               52   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0075                          C14                               13   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0075                          C14                               13   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0112                          C12                               54   1      1   1   1 1           1 0 XSIG020194          (4076-67-13)
10-0112                          C12                               54   1      2   1   1 2           2 0 GND                 (43-1-13)
20-0001                          D3                                25   1      1   1   1 2           2 0 OTG_FS_VBAT         (4076-21-13)
20-0001                          D3                                25   1      2   2   1 1           1 0 XSIG020066          (4076-22-13)
20-0004                          D2                                23   1      1   1   1 2           2 0 XSIG020078          (4076-24-13)
20-0004                          D2                                23   1      2   2   1 1           1 0 XSIG020077          (4076-23-13)
